Transaction ID,Date,Customer ID,Gender,Age,Product Category,Quantity,Price per Unit,Total Amount,Season
001,2023-11-24,C-001,Male,34,Beauty,3,50,150,Fall
002,2023-02-27,C-002,Female,26,Clothing,2,500,1000,Winter
003,2023-01-13,C-003,Male,50,Electronics,1,30,30,Winter
004,2023-05-21,C-004,Male,37,Clothing,1,500,500,Spring
005,2023-05-06,C-005,Male,30,Beauty,2,50,100,Spring
006,2023-04-25,C-006,Female,45,Beauty,1,30,30,Spring
007,2023-03-13,C-007,Male,46,Clothing,2,25,50,Spring
008,2023-02-22,C-008,Male,30,Electronics,4,25,100,Winter
009,2023-12-13,C-009,Male,63,Electronics,2,300,600,Winter
010,2023-10-07,C-010,Female,52,Clothing,4,50,200,Fall
011,2023-02-14,C-011,Male,23,Clothing,2,50,100,Winter
012,2023-10-30,C-012,Male,35,Beauty,3,25,75,Fall
013,2023-08-05,C-013,Male,22,Electronics,3,500,1500,Summer
014,2023-01-17,C-014,Male,64,Clothing,4,30,120,Winter
015,2023-01-16,C-015,Female,42,Electronics,4,500,2000,Winter
016,2023-02-17,C-016,Male,19,Clothing,3,500,1500,Winter
017,2023-04-22,C-017,Female,27,Clothing,4,25,100,Spring
018,2023-04-30,C-018,Female,47,Electronics,2,25,50,Spring
019,2023-09-16,C-019,Female,62,Clothing,2,25,50,Fall
020,2023-11-05,C-020,Male,22,Clothing,3,300,900,Fall
021,2023-01-14,C-021,Female,50,Beauty,1,500,500,Winter
022,2023-10-15,C-022,Male,18,Clothing,2,50,100,Fall
023,2023-04-12,C-023,Female,35,Clothing,4,30,120,Spring
024,2023-11-29,C-024,Female,49,Clothing,1,300,300,Fall
025,2023-12-26,C-025,Female,64,Beauty,1,50,50,Winter
026,2023-10-07,C-026,Female,28,Electronics,2,500,1000,Fall
027,2023-08-03,C-027,Female,38,Beauty,2,25,50,Summer
028,2023-04-23,C-028,Female,43,Beauty,1,500,500,Spring
029,2023-08-18,C-029,Female,42,Electronics,1,30,30,Summer
030,2023-10-29,C-030,Female,39,Beauty,3,300,900,Fall
031,2023-05-23,C-031,Male,44,Electronics,4,300,1200,Spring
032,2023-01-04,C-032,Male,30,Beauty,3,30,90,Winter
033,2023-03-23,C-033,Female,50,Electronics,2,50,100,Spring
034,2023-12-24,C-034,Female,51,Clothing,3,50,150,Winter
035,2023-08-05,C-035,Female,58,Beauty,3,300,900,Summer
036,2023-06-24,C-036,Male,52,Beauty,3,300,900,Summer
037,2023-05-23,C-037,Female,18,Beauty,3,25,75,Spring
038,2023-03-21,C-038,Male,38,Beauty,4,50,200,Spring
039,2023-04-21,C-039,Male,23,Clothing,4,30,120,Spring
040,2023-06-22,C-040,Male,45,Beauty,1,50,50,Summer
041,2023-02-22,C-041,Male,34,Clothing,2,25,50,Winter
042,2023-02-17,C-042,Male,22,Clothing,3,300,900,Winter
043,2023-07-14,C-043,Female,48,Clothing,1,300,300,Summer
044,2023-02-19,C-044,Female,22,Clothing,1,25,25,Winter
045,2023-07-03,C-045,Female,55,Electronics,1,30,30,Summer
046,2023-06-26,C-046,Female,20,Electronics,4,300,1200,Summer
047,2023-11-06,C-047,Female,40,Beauty,3,500,1500,Fall
048,2023-05-16,C-048,Male,54,Electronics,3,300,900,Spring
049,2023-01-23,C-049,Female,54,Electronics,2,500,1000,Winter
050,2023-08-24,C-050,Female,27,Beauty,3,25,75,Summer
051,2023-10-02,C-051,Male,27,Beauty,3,25,75,Fall
052,2023-03-05,C-052,Female,36,Beauty,1,300,300,Spring
053,2023-07-13,C-053,Male,34,Electronics,2,50,100,Summer
054,2023-02-10,C-054,Female,38,Electronics,3,500,1500,Winter
055,2023-10-10,C-055,Male,31,Beauty,4,30,120,Fall
056,2023-05-31,C-056,Female,26,Clothing,3,300,900,Spring
057,2023-11-18,C-057,Female,63,Beauty,1,30,30,Fall
058,2023-11-13,C-058,Male,18,Clothing,4,300,1200,Fall
059,2023-07-05,C-059,Male,62,Clothing,1,50,50,Summer
060,2023-10-23,C-060,Male,30,Beauty,3,50,150,Fall
061,2023-04-09,C-061,Male,21,Beauty,4,50,200,Spring
062,2023-12-27,C-062,Male,18,Beauty,2,50,100,Winter
063,2023-02-05,C-063,Male,57,Electronics,2,25,50,Winter
064,2023-01-24,C-064,Male,49,Clothing,4,25,100,Winter
065,2023-12-05,C-065,Male,51,Electronics,4,500,2000,Winter
066,2023-04-27,C-066,Female,45,Electronics,1,30,30,Spring
067,2023-05-29,C-067,Female,48,Beauty,4,300,1200,Spring
068,2023-02-10,C-068,Male,25,Electronics,1,300,300,Winter
069,2023-04-30,C-069,Female,56,Beauty,3,25,75,Spring
070,2023-02-21,C-070,Female,43,Clothing,1,300,300,Winter
071,2023-07-14,C-071,Female,51,Beauty,4,25,100,Summer
072,2023-05-23,C-072,Female,20,Electronics,4,500,2000,Spring
073,2023-08-21,C-073,Male,29,Electronics,3,30,90,Summer
074,2023-11-22,C-074,Female,18,Beauty,4,500,2000,Fall
075,2023-07-06,C-075,Male,61,Beauty,4,50,200,Summer
076,2023-03-25,C-076,Female,22,Electronics,2,50,100,Spring
077,2023-07-09,C-077,Female,47,Clothing,2,50,100,Summer
078,2023-07-01,C-078,Female,47,Clothing,3,500,1500,Summer
079,2023-04-18,C-079,Male,34,Beauty,1,300,300,Spring
080,2023-12-10,C-080,Female,64,Clothing,2,30,60,Winter
081,2023-05-17,C-081,Male,40,Electronics,1,50,50,Spring
082,2023-12-26,C-082,Female,32,Beauty,4,50,200,Winter
083,2023-12-16,C-083,Male,54,Electronics,2,50,100,Winter
